,Quarter,Tm,Detail,SFO,NOR
0,1,Saints,Tony Galbreath 8 yard rush (Rich Szaro kick),0,7
1,3,49ers,Delvin Williams 5 yard rush (Ray Wersching kick),7,7
2,OT,49ers,Ray Wersching 33 yard field goal,10,7
