,Quarter,Time,Tm,Detail,PHI,SEA
0,1.0,7:01,Eagles,David Akers 48 yard field goal,3,0
1,2.0,14:06,Eagles,James Thrash 64 yard pass from Donovan McNabb (David Akers kick),10,0
2,2.0,6:09,Seahawks,Rian Lindell 41 yard field goal,10,3
3,2.0,2:13,Eagles,James Thrash 23 yard pass from Donovan McNabb (David Akers kick),17,3
4,4.0,9:31,Eagles,David Akers 21 yard field goal,20,3
5,4.0,4:22,Eagles,Donovan McNabb 3 yard rush (David Akers kick),27,3
