,Quarter,Tm,Detail,CLE,WAS
0,1.0,Browns,Don Cockroft 30 yard field goal,3,0
1,2.0,Redskins,Curt Knight 18 yard field goal,3,3
2,2.0,Browns,Gary Collins 17 yard pass from Bill Nelsen (Don Cockroft kick),10,3
3,2.0,Redskins,Larry Brown 29 yard pass from Billy Kilmer (Curt Knight kick),10,10
4,2.0,Redskins,Curt Knight 35 yard field goal,10,13
5,3.0,Browns,Don Cockroft 32 yard field goal,13,13
6,4.0,Browns,Chip Glass 4 yard pass from Bill Nelsen (Don Cockroft kick),20,13
