,Quarter,Tm,Detail,RAM,MIN
0,1.0,Vikings,Alfred Anderson 7 yard rush (Chuck Nelson kick),0,7
1,1.0,Vikings,Allen Rice 17 yard rush (Chuck Nelson kick),0,14
2,2.0,Rams,Damone Johnson 3 yard pass from Jim Everett (Mike Lansford kick),7,14
3,3.0,Vikings,Alfred Anderson 1 yard rush (Chuck Nelson kick),7,21
4,3.0,Rams,Mike Lansford 43 yard field goal,10,21
5,4.0,Vikings,Carl Hilton 5 yard pass from Wade Wilson (Chuck Nelson kick),10,28
6,4.0,Rams,Pete Holohan 11 yard pass from Jim Everett (Mike Lansford kick),17,28
