,Quarter,Time,Tm,Detail,CLE,HOU
0,2.0,0:00,Browns,Phil Dawson 43 yard field goal,3,0
1,3.0,10:19,Texans,Chris Taylor 5 yard rush (Kris Brown kick),3,7
2,3.0,6:28,Texans,Anthony Maddox 47 yard defensive fumble return (Kris Brown kick),3,14
3,4.0,7:08,Browns,Phil Dawson 36 yard field goal,6,14
