,Quarter,Tm,Detail,ATL,HOU
0,1.0,Oilers,Al Del Greco 52 yard field goal,0,3
1,2.0,Oilers,Al Del Greco 43 yard field goal,0,6
2,2.0,Falcons,Mike Pritchard 9 yard pass from Bobby Hebert (Norm Johnson kick),7,6
3,3.0,Falcons,Andre Rison 6 yard pass from Bobby Hebert (Norm Johnson kick),14,6
4,3.0,Oilers,Webster Slaughter 25 yard pass from Warren Moon (Al Del Greco kick),14,13
5,3.0,Oilers,Ray Childress defensive fumble recovery in end zone (Al Del Greco kick),14,20
6,4.0,Oilers,Al Del Greco 21 yard field goal,14,23
7,4.0,Oilers,Gary Brown 1 yard rush (Al Del Greco kick),14,30
8,4.0,Falcons,Norm Johnson 30 yard field goal,17,30
9,4.0,Oilers,Al Del Greco 36 yard field goal,17,33
