,Quarter,Time,Tm,Detail,DEN,STL
0,1.0,10:03,Broncos,Brian Griese 8 yard rush (Jason Elam kick),7,0
1,1.0,2:05,Rams,Az-Zahir Hakim 86 yard punt return (Jeff Wilkins kick),7,7
2,2.0,13:42,Broncos,Jason Elam 32 yard field goal,10,7
3,2.0,8:53,Rams,Marshall Faulk 5 yard rush (Jeff Wilkins kick),10,14
4,2.0,3:50,Broncos,Rod Smith 25 yard pass from Brian Griese (Jason Elam kick),17,14
5,2.0,0:38,Rams,Ricky Proehl 7 yard pass from Kurt Warner (Jeff Wilkins kick),17,21
6,3.0,9:19,Broncos,Jason Elam 38 yard field goal,20,21
7,3.0,8:09,Rams,Marshall Faulk 72 yard pass from Kurt Warner (Jeff Wilkins kick),20,28
8,3.0,4:02,Rams,Az-Zahir Hakim 80 yard pass from Kurt Warner (Jeff Wilkins kick),20,35
9,3.0,0:51,Broncos,Desmond Clark 7 yard pass from Brian Griese (Jason Elam kick),27,35
10,4.0,7:32,Broncos,Jason Elam 36 yard field goal,30,35
11,4.0,6:35,Broncos,Terrell Buckley 32 yard interception return (run failed),36,35
12,4.0,2:58,Rams,Robert Holcombe 1 yard rush (pass failed),36,41
