,Quarter,Time,Tm,Detail,BUF,NYJ
0,2.0,7:55,Jets,Chris Baker 1 yard pass from Chad Pennington (Doug Brien kick),0,7
1,2.0,0:00,Jets,Doug Brien 37 yard field goal,0,10
2,3.0,5:23,Jets,Doug Brien 36 yard field goal,0,13
3,4.0,8:57,Bills,Mark Campbell 16 yard pass from Drew Bledsoe (Rian Lindell kick),7,13
4,4.0,5:58,Bills,Lee Evans 46 yard pass from Drew Bledsoe (Rian Lindell kick),14,13
5,4.0,0:58,Jets,Doug Brien 38 yard field goal,14,16
