,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,,Colts,Floyd Turner 14 yard pass from Don Majkowski (Dean Biasucci kick),0,7
1,1.0,,Colts,Don Majkowski 3 yard rush (Dean Biasucci kick),0,14
2,2.0,,Jets,Art Monk 22 yard pass from Boomer Esiason (Nick Lowery kick),7,14
3,2.0,,Jets,Nick Lowery 26 yard field goal,10,14
4,3.0,,Colts,Marshall Faulk 1 yard rush (Dean Biasucci kick),10,21
5,3.0,,Jets,Mo Lewis 18 yard interception return (Rob Moore pass from Boomer Esiason),18,21
6,4.0,,Colts,Marshall Faulk 29 yard rush (Dean Biasucci kick),18,28
7,4.0,,Jets,Rob Moore 41 yard pass from Boomer Esiason (Nick Lowery kick),25,28
