,Quarter,Tm,Detail,NWE,DEN
0,1.0,Patriots,Tony Franklin 30 yard field goal,3,0
1,2.0,Patriots,Tony Franklin 40 yard field goal,6,0
2,2.0,Broncos,Steve Watson 35 yard pass from John Elway,6,6
3,3.0,Patriots,Clarence Weathers 15 yard pass from Tony Eason (Tony Franklin kick),13,6
4,3.0,Broncos,Butch Johnson 17 yard pass from John Elway,13,12
5,4.0,Patriots,Tony Franklin 47 yard field goal,16,12
6,4.0,Patriots,Tony Franklin 19 yard field goal,19,12
7,4.0,Broncos,Butch Johnson 5 yard pass from John Elway (Rich Karlis kick),19,19
8,4.0,Broncos,Dennis Smith 64 yard defensive fumble return (Rich Karlis kick),19,26
