,Quarter,Time,Tm,Detail,GNB,DEN
0,1.0,3:26,Broncos,Jason Elam 20 yard field goal,0,3
1,2.0,1:42,Packers,Ryan Longwell 50 yard field goal,3,3
2,3.0,11:17,Broncos,Ed McCaffrey 10 yard pass from Brian Griese (Jason Elam kick),3,10
3,3.0,6:47,Packers,Dorsey Levens 1 yard rush (Ryan Longwell kick),10,10
4,3.0,6:21,Broncos,Ed McCaffrey 78 yard pass from Brian Griese (Jason Elam kick),10,17
5,3.0,1:16,Broncos,Olandis Gary 1 yard rush (Jason Elam kick),10,24
6,4.0,11:06,Broncos,Brian Griese 2 yard rush (Jason Elam kick),10,31
