,Quarter,Tm,Detail,CIN,NOR
0,2.0,Bengals,Jim Breech 35 yard field goal,3,0
1,2.0,Saints,Hoby Brenner 54 yard pass from Dave Wilson (Morten Andersen kick),3,7
2,3.0,Bengals,James Brooks 27 yard pass from Ken Anderson (Jim Breech kick),10,7
3,3.0,Bengals,Stanford Jennings 15 yard pass from Ken Anderson (Jim Breech kick),17,7
4,3.0,Saints,Hoby Brenner 35 yard pass from Dave Wilson (Morten Andersen kick),17,14
5,4.0,Bengals,Stanford Jennings 1 yard rush (Jim Breech kick),24,14
6,4.0,Saints,Eugene Goodlow 5 yard pass from Dave Wilson (Morten Andersen kick),24,21
