,Quarter,Time,Tm,Detail,SDG,CAR
0,1.0,10:19,Panthers,Graham Gano 41 yard field goal,0,3
1,1.0,1:48,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),0,10
2,2.0,11:12,Panthers,Devin Funchess 6 yard pass from Cam Newton (Graham Gano kick),0,17
3,2.0,5:23,Panthers,Graham Gano 44 yard field goal,0,20
4,2.0,3:49,Panthers,Graham Gano 45 yard field goal,0,23
5,2.0,1:03,Chargers,Hunter Henry 9 yard pass from Philip Rivers (Josh Lambo kick),7,23
6,3.0,11:29,Panthers,Graham Gano 23 yard field goal,7,26
7,3.0,4:26,Chargers,Josh Lambo 32 yard field goal,10,26
8,3.0,0:30,Chargers,Dontrelle Inman 19 yard pass from Philip Rivers,16,26
9,4.0,10:09,Panthers,"Safety, Philip Rivers mario Addison sack in end zone",16,28
