,Quarter,Tm,Detail,PHI,GNB
0,1.0,Eagles,Wilbert Montgomery 11 yard pass from Ron Jaworski (Tony Franklin kick),7,0
1,1.0,Packers,Tom Birney 33 yard field goal,7,3
2,3.0,Eagles,Harold Carmichael 17 yard pass from Ron Jaworski (Tony Franklin kick),14,3
3,4.0,Eagles,Harold Carmichael 4 yard pass from Ron Jaworski (Tony Franklin kick),21,3
4,4.0,Packers,James Lofton 7 yard pass from Lynn Dickey (Tom Birney kick),21,10
