,Quarter,Time,Tm,Detail,STL,CAR
0,1.0,,Rams,Jeff Wilkins 43 yard field goal,3,0
1,2.0,,Rams,Derrick Harris 1 yard pass from Steve Bono (Jeff Wilkins kick),10,0
2,2.0,1:22,Panthers,Muhsin Muhammad 3 yard pass from Steve Beuerlein (John Kasay kick),10,7
3,3.0,1:22,Rams,Jeff Wilkins 38 yard field goal,13,7
4,3.0,1:22,Panthers,John Kasay 32 yard field goal,13,10
5,4.0,1:22,Panthers,Luther Broughton 68 yard pass from Steve Beuerlein (John Kasay kick),13,17
6,4.0,1:08,Panthers,John Kasay 37 yard field goal,13,20
