,Quarter,Tm,Detail,BAL,KAN
0,1.0,Chiefs,Nick Lowery 27 yard field goal,0,3
1,1.0,Colts,Reese McCall 18 yard pass from Bert Jones (Steve Mike-Mayer kick),7,3
2,2.0,Colts,Don McCauley 7 yard pass from Bert Jones (Steve Mike-Mayer kick),14,3
3,2.0,Chiefs,Horace Belton 8 yard rush (Nick Lowery kick),14,10
4,2.0,Chiefs,Steve Fuller 7 yard rush (Nick Lowery kick),14,17
5,3.0,Colts,Curtis Dickey 2 yard rush (Steve Mike-Mayer kick),21,17
6,3.0,Chiefs,Horace Belton 3 yard rush (Nick Lowery kick),21,24
7,3.0,Colts,Curtis Dickey 51 yard rush (Steve Mike-Mayer kick),28,24
8,4.0,Colts,Steve Mike-Mayer 21 yard field goal,31,24
