,Quarter,Tm,Detail,CRD,PRT
0,2.0,Spartans,Ernie Caddel 13 yard rush (Glenn Presnell kick),0,7
1,2.0,Cardinals,Howie Tipton 47 yard pass from Joe Lillard,6,7
