,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,Ward Cuff 28 yard field goal,0,3
1,1.0,Bears,Bob Fenimore 3 yard rush,6,3
2,2.0,Packers,Nolan Luhn 25 yard pass from Jack Jacobs (Ward Cuff kick),6,10
3,2.0,Packers,Bruce Smith 36 yard pass from Jack Jacobs (Ward Cuff kick),6,17
4,2.0,Bears,Jim Keane 11 yard pass from Sid Luckman (Ray McLean kick),13,17
5,3.0,Packers,"Safety, McAfee tackled in end zone by Smith",13,19
6,4.0,Packers,Ward Cuff 25 yard field goal,13,22
7,4.0,Bears,Jim Keane 15 yard pass from Sid Luckman (Ray McLean kick),20,22
8,4.0,Packers,Jack Jacobs 1 yard rush (Ward Cuff kick),20,29
