,Quarter,Tm,Detail,PHI,CRD
0,1.0,Cardinals,Frank Bernardi 39 yard pass from Lamar McHan (Pat Summerall kick),0,7
1,2.0,Cardinals,Pat Summerall 16 yard field goal,0,10
2,2.0,Eagles,Pete Pihos 31 yard pass from Adrian Burk (Dick Bielski kick),7,10
3,3.0,Eagles,Hal Giancanelli 9 yard rush (Dick Bielski kick),14,10
4,3.0,Cardinals,Ollie Matson 70 yard pass from Lamar McHan (Pat Summerall kick),14,17
5,4.0,Eagles,Jerry Norton 23 yard rush (Dick Bielski kick),21,17
6,4.0,Eagles,Dick Bielski 41 yard field goal,24,17
7,4.0,Cardinals,Don Stonesifer 13 yard pass from Dave Mann (Pat Summerall kick),24,24
