,Quarter,Tm,Detail,BUF,POT
0,1,Maroons,Barney Wentz 5 yard rush (Denny Hughes kick),0,7
1,2,Maroons,Eddie Doyle 9 yard pass from Jack Ernst (Denny Hughes kick),0,14
2,3,Maroons,Jack Ernst 1 yard rush (Jack Ernst kick),0,21
3,4,Maroons,Frank Bucher 15 yard pass from Hoot Flanagan (Barney Wentz kick),0,28
