,Quarter,Tm,Detail,PHI,RAM
0,2.0,Eagles,Bobby Walston 35 yard field goal,3,0
1,2.0,Rams,Joe Marconi 1 yard rush (Paige Cothren kick),3,7
2,2.0,Rams,Norm Van Brocklin 1 yard rush (Paige Cothren kick),3,14
3,2.0,Eagles,Bobby Walston 20 yard field goal,6,14
4,4.0,Eagles,Billy Ray Barnes 4 yard rush (Bobby Walston kick),13,14
5,4.0,Rams,Paige Cothren 37 yard field goal,13,17
