,Quarter,Time,Tm,Detail,MIA,STL
0,1.0,8:10,Rams,Ricky Proehl 3 yard pass from Kurt Warner (Jeff Wilkins kick),0,7
1,1.0,2:41,Dolphins,James McKnight 24 yard pass from Jay Fiedler (Olindo Mare kick),7,7
2,2.0,9:32,Rams,Marshall Faulk 10 yard pass from Kurt Warner (Jeff Wilkins kick),7,14
3,2.0,3:18,Dolphins,Olindo Mare 26 yard field goal,10,14
4,2.0,0:00,Rams,Marshall Faulk 1 yard pass from Kurt Warner (Jeff Wilkins kick),10,21
5,3.0,5:49,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),10,28
6,4.0,6:39,Rams,Torry Holt 45 yard pass from Kurt Warner (Jeff Wilkins kick),10,35
7,4.0,2:25,Rams,Trung Canidate 9 yard rush (Jeff Wilkins kick),10,42
