,Quarter,Tm,Detail,SDG,GNB
0,1.0,Packers,Chester Marcol 22 yard field goal,0,3
1,2.0,Packers,Chester Marcol 27 yard field goal,0,6
2,2.0,Packers,Eric Torkelson 29 yard special teams fumble return (Chester Marcol kick),0,13
3,3.0,Packers,Ken Ellis 38 yard interception return (Chester Marcol kick),0,20
4,3.0,Packers,MacArthur Lane 24 yard pass from John Hadl (Chester Marcol kick),0,27
5,4.0,Packers,Steve Odom 56 yard pass from Jack Concannon (Chester Marcol kick),0,34
