,Quarter,Tm,Detail,RAI,SDG
0,1.0,Chargers,John Carney 27 yard field goal,0,3
1,2.0,Raiders,Jeff Jaeger 24 yard field goal,3,3
2,2.0,Raiders,Bo Jackson 5 yard rush (Jeff Jaeger kick),10,3
3,2.0,Chargers,John Carney 37 yard field goal,10,6
4,3.0,Raiders,Bo Jackson 7 yard rush (Jeff Jaeger kick),17,6
5,3.0,Chargers,John Carney 37 yard field goal,17,9
6,4.0,Raiders,Willie Gault 8 yard pass from Jay Schroeder (Jeff Jaeger kick),24,9
