,Quarter,Tm,Detail,GNB,DEN
0,1.0,Broncos,David Treadwell 22 yard field goal,0,3
1,1.0,Packers,Chris Jacke 37 yard field goal,3,3
2,2.0,Broncos,David Treadwell 31 yard field goal,3,6
3,2.0,Packers,Chris Jacke 24 yard field goal,6,6
4,3.0,Broncos,Bobby Humphrey 5 yard rush (David Treadwell kick),6,13
5,3.0,Broncos,Mark Jackson 15 yard pass from John Elway (David Treadwell kick),6,20
6,4.0,Packers,Sterling Sharpe 9 yard pass from Anthony Dilweg (Chris Jacke kick),13,20
7,4.0,Broncos,"Safety, Mecklenburg tackled Dilweg in end zone",13,22
