,Quarter,Time,Tm,Detail,TAM,NOR
0,1.0,4:02,Saints,Wil Lutz 29 yard field goal,0,3
1,1.0,0:18,Buccaneers,Chris Godwin 26 yard pass from Jameis Winston (Matt Gay kick),7,3
2,2.0,10:20,Saints,Michael Thomas 14 yard pass from Teddy Bridgewater (Wil Lutz kick),7,10
3,2.0,5:37,Buccaneers,Matt Gay 42 yard field goal,10,10
4,2.0,0:37,Saints,Jared Cook 9 yard pass from Teddy Bridgewater (Wil Lutz kick),10,17
5,3.0,13:50,Saints,Ted Ginn Jr. 33 yard pass from Teddy Bridgewater (Wil Lutz kick),10,24
6,3.0,5:06,Buccaneers,Peyton Barber 2 yard rush (Matt Gay kick),17,24
7,4.0,10:42,Saints,Michael Thomas 12 yard pass from Teddy Bridgewater (Wil Lutz kick),17,31
8,4.0,0:19,Buccaneers,Chris Godwin 26 yard pass from Jameis Winston (Matt Gay kick),24,31
