,Quarter,Tm,Detail,NWE,DAL
0,1.0,Cowboys,Rafael Septien 26 yard field goal,0,3
1,1.0,Patriots,Sam Cunningham 52 yard rush (David Posey kick),7,3
2,2.0,Patriots,David Posey 30 yard field goal,10,3
3,3.0,Cowboys,Tony Hill 40 yard pass from Roger Staubach (Rafael Septien kick),10,10
4,4.0,Cowboys,Billy Joe DuPree 36 yard pass from Roger Staubach (Rafael Septien kick),10,17
