,Quarter,Tm,Detail,CLE,DAL
0,1.0,Cowboys,Rafael Septien 39 yard field goal,0,3
1,2.0,Cowboys,Doug Cosbie 10 yard pass from Danny White (Rafael Septien kick),0,10
2,3.0,Cowboys,Danny White 12 yard pass from James Jones (Rafael Septien kick),0,17
3,4.0,Cowboys,Rafael Septien 33 yard field goal,0,20
4,4.0,Browns,Earnest Byner 1 yard rush (Matt Bahr kick),7,20
