,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Jets,Freeman McNeil 19 yard rush (Pat Leahy kick),7,0
1,1.0,Patriots,Greg Davis 47 yard field goal,7,3
2,2.0,Jets,Jo-Jo Townsell 35 yard pass from Ken O'Brien (Pat Leahy kick),14,3
3,3.0,Patriots,John Stephens 35 yard rush,14,9
4,3.0,Jets,Pat Leahy 18 yard field goal,17,9
5,4.0,Patriots,Greg Davis 26 yard field goal,17,12
6,4.0,Jets,Chris Burkett 29 yard pass from Ken O'Brien (Pat Leahy kick),24,12
7,4.0,Patriots,Cedric Jones 65 yard pass from Marc Wilson (Greg Davis kick),24,19
8,4.0,Patriots,Hart Lee Dykes 11 yard pass from Marc Wilson (Greg Davis kick),24,26
9,4.0,Jets,Pat Leahy 23 yard field goal,27,26
