,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Matt Stover 21 yard field goal,0,3
1,2.0,Oilers,Gary Brown 11 yard rush (Al Del Greco kick),7,3
2,2.0,Oilers,Curtis Duncan 4 yard pass from Warren Moon (Al Del Greco kick),14,3
3,2.0,Browns,Eric Metcalf 13 yard pass from Todd Philcox (Matt Stover kick),14,10
4,3.0,Oilers,Al Del Greco 28 yard field goal,17,10
5,4.0,Oilers,Warren Moon 4 yard rush (Al Del Greco kick),24,10
6,4.0,Oilers,Al Del Greco 30 yard field goal,27,10
7,4.0,Browns,Mark Carrier 24 yard pass from Todd Philcox (Matt Stover kick),27,17
8,4.0,Browns,Matt Stover 44 yard field goal,27,20
