,Quarter,Tm,Detail,STL,SDG
0,1.0,Cardinals,Jim McFarland 3 yard pass from Jim Hart (Jim Bakken kick),7,0
1,2.0,Chargers,Dennis Partee 25 yard field goal,7,3
2,2.0,Cardinals,Jim Bakken 13 yard field goal,10,3
3,3.0,Chargers,Jeff Queen 4 yard rush (Dennis Partee kick),10,10
4,4.0,Chargers,Jeff Queen 4 yard pass from John Hadl (Dennis Partee kick),10,17
5,4.0,Cardinals,Cid Edwards 1 yard rush (Jim Bakken kick),17,17
6,4.0,Chargers,Dennis Partee 45 yard field goal,17,20
