,Quarter,Tm,Detail,SFO,NOR
0,1.0,49ers,Ray Wersching 23 yard field goal,3,0
1,1.0,49ers,Ray Wersching 32 yard field goal,6,0
2,2.0,Saints,Morten Andersen 28 yard field goal,6,3
3,2.0,Saints,Morten Andersen 26 yard field goal,6,6
4,2.0,Saints,Wayne Wilson 1 yard rush (Morten Andersen kick),6,13
5,3.0,49ers,Ray Wersching 47 yard field goal,9,13
6,3.0,49ers,Ray Wersching 52 yard field goal,12,13
7,3.0,49ers,Ray Wersching 24 yard field goal,15,13
8,3.0,49ers,Dwight Hicks 62 yard interception return (Ray Wersching kick),22,13
9,4.0,49ers,Ray Wersching 23 yard field goal,25,13
10,4.0,49ers,Wendell Tyler 34 yard rush (Ray Wersching kick),32,13
