,Quarter,Tm,Detail,SDG,OAK
0,1.0,Raiders,George Atkinson 59 yard defensive fumble return (George Blanda kick),0,7
1,1.0,Chargers,Dennis Partee 14 yard field goal,3,7
2,2.0,Raiders,George Blanda 34 yard field goal,3,10
3,2.0,Raiders,Charlie Smith 7 yard rush (George Blanda kick),3,17
4,2.0,Raiders,Fred Biletnikoff 16 yard pass from Ken Stabler (George Blanda kick),3,24
5,3.0,Raiders,Bob Moore 1 yard pass from Ken Stabler (George Blanda kick),3,31
