,Quarter,Time,Tm,Detail,DET,TAM
0,1.0,,Lions,Germane Crowell 53 yard pass from Charlie Batch (Jason Hanson kick),7,0
1,1.0,,Lions,Walter Rasby 3 yard pass from Charlie Batch (Jason Hanson kick),14,0
2,2.0,,Buccaneers,Jacquez Green 44 yard pass from Trent Dilfer (Michael Husted kick),14,7
3,2.0,,Lions,Ron Rivers 36 yard rush (Jason Hanson kick),21,7
4,2.0,0:30,Buccaneers,Dave Moore 8 yard pass from Trent Dilfer (Michael Husted kick),21,14
5,3.0,0:30,Buccaneers,Michael Husted 33 yard field goal,21,17
6,4.0,0:30,Lions,Tommy Vardell 1 yard rush (Jason Hanson kick),28,17
7,4.0,0:30,Buccaneers,Mike Alstott 5 yard rush (Reidel Anthony pass from Trent Dilfer),28,25
