,Quarter,Tm,Detail,GNB,CRD
0,1.0,Cardinals,Bob Ravensberg 48 yard pass from Jim Hardy (Pat Harder kick),0,7
1,1.0,Cardinals,Mal Kutner 11 yard pass from Jim Hardy,0,13
2,1.0,Cardinals,Red Cochran 71 yard punt return (Pat Harder kick),0,20
3,1.0,Cardinals,Pat Harder 10 yard rush (Pat Harder kick),0,27
4,2.0,Cardinals,Bob Ravensberg 40 yard pass from Paul Christman (Pat Harder kick),0,34
5,2.0,Packers,Tony Canadeo 1 yard rush (Ted Fritsch kick),7,34
6,2.0,Packers,Steve Pritko 2 yard pass from Jug Girard (Ted Fritsch kick),14,34
7,2.0,Packers,Steve Pritko 24 yard pass from Jug Girard (Joe Ethridge kick),21,34
8,4.0,Cardinals,Elmer Angsman 5 yard rush (Pat Harder kick),21,41
