,Quarter,Tm,Detail,GNB,MIN
0,2.0,Packers,Chester Marcol 28 yard field goal,3,0
1,2.0,Packers,Chester Marcol 31 yard field goal,6,0
2,3.0,Packers,Chester Marcol 19 yard field goal,9,0
3,4.0,Packers,Chester Marcol 18 yard field goal,12,0
4,4.0,Vikings,Chuck Foreman 24 yard pass from Fran Tarkenton (Fred Cox kick),12,7
5,4.0,Packers,MacArthur Lane 68 yard pass from John Hadl (Chester Marcol kick),19,7
