,Quarter,Time,Tm,Detail,ARI,DEN
0,1.0,,Broncos,Terrell Davis 5 yard rush (Jason Elam kick),0,7
1,1.0,,Broncos,Aaron Craver 1 yard rush (Jason Elam kick),0,14
2,1.0,,Cardinals,Greg Davis 31 yard field goal,3,14
3,2.0,2:14,Broncos,Aaron Craver 1 yard pass from John Elway (Jason Elam kick),3,21
4,2.0,2:14,Broncos,Jason Elam 53 yard field goal,3,24
5,2.0,2:14,Cardinals,Greg Davis 20 yard field goal,6,24
6,3.0,2:14,Broncos,Anthony Miller 47 yard pass from John Elway (Jason Elam kick),6,31
7,4.0,2:14,Broncos,Ed McCaffrey 23 yard pass from John Elway (Jason Elam kick),6,38
