,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,George McAfee 11 yard rush (Johnny Lujack kick),0,7
1,1.0,Lions,Bill Dudley 4 yard pass from Frank Tripucka (Bill Dudley kick),7,7
2,2.0,Bears,Jim Keane 16 yard pass from Johnny Lujack (Johnny Lujack kick),7,14
3,2.0,Lions,Bill Dudley 16 yard field goal,10,14
4,3.0,Bears,Ken Kavanaugh 59 yard pass from Johnny Lujack,10,20
5,4.0,Bears,Ed Cody 30 yard interception return (Johnny Lujack kick),10,27
6,4.0,Lions,Cloyce Box 35 yard pass from Frank Tripucka (Bill Dudley kick),17,27
7,4.0,Lions,Cloyce Box 35 yard pass from Frank Tripucka (Bill Dudley kick),24,27
