,Quarter,Time,Tm,Detail,SDG,NOR
0,1.0,,Chargers,Natrone Means 16 yard rush (John Carney kick),7,0
1,1.0,,Chargers,Natrone Means 8 yard rush (John Carney kick),14,0
2,2.0,,Chargers,John Carney 49 yard field goal,17,0
3,2.0,,Chargers,Natrone Means 1 yard rush (John Carney kick),24,0
4,2.0,,Saints,Quinn Early 18 yard pass from Jim Everett (Morten Andersen kick),24,7
5,2.0,,Chargers,John Carney 31 yard field goal,27,7
6,3.0,,Chargers,John Carney 29 yard field goal,30,7
7,3.0,,Saints,Irv Smith 1 yard pass from Jim Everett (Morten Andersen kick),30,14
8,3.0,,Chargers,John Carney 29 yard field goal,33,14
9,4.0,,Saints,Lorenzo Neal 1 yard rush (Wesley Walls pass from Jim Everett),33,22
10,4.0,,Chargers,John Carney 28 yard field goal,36,22
