,Quarter,Time,Tm,Detail,CIN,BAL
0,1.0,,Ravens,Priest Holmes 3 yard rush (Matt Stover kick),0,7
1,1.0,,Ravens,Priest Holmes 15 yard rush (Matt Stover kick),0,14
2,2.0,12:37,Ravens,Jermaine Lewis 73 yard pass from Eric Zeier (Matt Stover kick),0,21
3,2.0,12:37,Bengals,Doug Pelfrey 48 yard field goal,3,21
4,2.0,0:21,Bengals,Carl Pickens 1 yard pass from Neil O'Donnell (Doug Pelfrey kick),10,21
5,3.0,15:00,Bengals,Tremain Mack 97 yard kickoff return (Doug Pelfrey kick),17,21
6,3.0,15:00,Ravens,Jermaine Lewis 87 yard punt return (Matt Stover kick),17,28
7,4.0,15:00,Bengals,Carl Pickens 67 yard pass from Jeff Blake (Doug Pelfrey kick),24,28
8,4.0,15:00,Ravens,Matt Stover 46 yard field goal,24,31
