,Quarter,Tm,Detail,STL,SDG
0,1.0,Chargers,Don Woods 13 yard rush,0,6
1,1.0,Cardinals,J.V. Cain 14 yard pass from Jim Hart (Jim Bakken kick),7,6
2,1.0,Cardinals,Jim Bakken 32 yard field goal,10,6
3,2.0,Chargers,Rickey Young 3 yard rush (Toni Fritsch kick),10,13
4,2.0,Chargers,Charlie Joiner 30 yard pass from Dan Fouts,10,19
5,2.0,Chargers,Dwight McDonald 44 yard pass from Dan Fouts (Toni Fritsch kick),10,26
6,2.0,Chargers,Dwight McDonald 18 yard pass from Dan Fouts (Toni Fritsch kick),10,33
7,3.0,Cardinals,Wayne Morris 11 yard pass from Jim Hart (Jim Bakken kick),17,33
8,3.0,Chargers,Toni Fritsch 39 yard field goal,17,36
9,4.0,Chargers,Pat Curran 1 yard pass from Dan Fouts (Toni Fritsch kick),17,43
10,4.0,Cardinals,Wayne Morris 1 yard rush (Jim Bakken kick),24,43
