,Quarter,Tm,Detail,BAL,RAM
0,1.0,Rams,Joe Marconi 8 yard rush (Les Richter kick),0,7
1,1.0,Rams,Billy Wade 2 yard rush (Les Richter kick),0,14
2,2.0,Colts,Jim Mutscheller 3 yard pass from Johnny Unitas (Tom Feamster kick),7,14
3,4.0,Rams,Les Richter 27 yard field goal,7,17
4,4.0,Rams,Joe Marconi 4 yard rush (Les Richter kick),7,24
5,4.0,Rams,Norm Van Brocklin 1 yard rush (Les Richter kick),7,31
