,Quarter,Tm,Detail,SEA,CIN
0,1.0,Seahawks,John Williams 35 yard rush (John Kasay kick),7,0
1,2.0,Bengals,Eric Ball 1 yard rush (Jim Breech kick),7,7
2,3.0,Seahawks,John Kasay 36 yard field goal,10,7
3,3.0,Seahawks,John Kasay 31 yard field goal,13,7
