,Quarter,Tm,Detail,NYG,PHI
0,2.0,Giants,Kyle Rote 6 yard pass from Frank Gifford (Ben Agajanian kick),7,0
1,2.0,Giants,Frank Gifford 10 yard rush (Ben Agajanian kick),14,0
2,3.0,Giants,Alex Webster 7 yard rush (Ben Agajanian kick),21,0
3,4.0,Eagles,Bobby Walston 15 yard pass from Adrian Burk (Bobby Walston kick),21,7
