,Quarter,Tm,Detail,PHI,MIA
0,1.0,Eagles,Charlie Smith 22 yard pass from Roman Gabriel,6,0
1,2.0,Dolphins,Don Nottingham 3 yard rush (Garo Yepremian kick),6,7
2,2.0,Eagles,Horst Muhlmann 42 yard field goal,9,7
3,2.0,Dolphins,Garo Yepremian 40 yard field goal,9,10
4,3.0,Dolphins,Nat Moore 13 yard pass from Bob Griese (Garo Yepremian kick),9,17
5,4.0,Dolphins,Norm Bulaich 7 yard rush (Garo Yepremian kick),9,24
6,4.0,Eagles,James McAlister 39 yard pass from Roman Gabriel (Horst Muhlmann kick),16,24
