,Quarter,Time,Tm,Detail,NWE,NYJ
0,1.0,,Jets,John Hall 36 yard field goal,0,3
1,2.0,,Jets,Kyle Brady 4 yard pass from Vinny Testaverde (John Hall kick),0,10
2,2.0,,Jets,Curtis Martin 8 yard pass from Vinny Testaverde (John Hall kick),0,17
3,2.0,,Patriots,Adam Vinatieri 19 yard field goal,3,17
4,3.0,,Jets,Dedric Ward 17 yard pass from Vinny Testaverde (John Hall kick),3,24
5,4.0,,Jets,Keyshawn Johnson 24 yard pass from Vinny Testaverde (John Hall kick),3,31
6,4.0,1:38,Patriots,Tony Simmons 44 yard pass from Scott Zolak (Adam Vinatieri kick),10,31
