,Quarter,Time,Tm,Detail,PIT,MIA
0,2.0,,Dolphins,Karim Abdul-Jabbar 3 yard rush (Olindo Mare kick),0,7
1,2.0,,Dolphins,Lamar Thomas 8 yard pass from Dan Marino (Olindo Mare kick),0,14
2,3.0,,Dolphins,Zach Thomas 17 yard interception return (Olindo Mare kick),0,21
