,Quarter,Tm,Detail,CHI,DET
0,1,Lions,Dutch Clark 12 yard pass from Bill Shepherd (Dutch Clark kick),0,7
1,2,Bears,"Safety, Hewitt tackled Parker in end zone",2,7
2,3,Lions,Dutch Clark 22 yard rush (Dutch Clark kick),2,14
