,Quarter,Time,Tm,Detail,MIN,NWE
0,1.0,9:33,Patriots,James Develin 1 yard rush (Stephen Gostkowski kick),0,7
1,2.0,5:45,Patriots,Stephen Gostkowski 20 yard field goal,0,10
2,2.0,0:15,Vikings,Adam Thielen 5 yard pass from Kirk Cousins (Dan Bailey kick),7,10
3,3.0,2:20,Vikings,Dan Bailey 39 yard field goal,10,10
4,3.0,0:35,Patriots,Josh Gordon 24 yard pass from Tom Brady (Stephen Gostkowski kick),10,17
5,4.0,10:54,Patriots,James Develin 2 yard rush (Stephen Gostkowski kick),10,24
