,Quarter,Tm,Detail,MIA,CIN
0,1.0,Bengals,Jim Breech 20 yard field goal,0,3
1,1.0,Bengals,Rodney Holman 38 yard pass from Boomer Esiason (Jim Breech kick),0,10
2,2.0,Dolphins,Pete Stoyanovich 29 yard field goal,3,10
3,2.0,Bengals,Jim Breech 22 yard field goal,3,13
4,3.0,Dolphins,Dan Marino 1 yard rush (Pete Stoyanovich kick),10,13
5,4.0,Dolphins,Pete Stoyanovich 33 yard field goal,13,13
6,4.0,Dolphins,Ron Davenport 5 yard rush (Pete Stoyanovich kick),20,13
