,Quarter,Time,Tm,Detail,RAI,KAN
0,2.0,,Chiefs,Derrick Walker 57 yard pass from Joe Montana (Lin Elliott kick),0,7
1,2.0,,Raiders,Jeff Jaeger 50 yard field goal,3,7
2,3.0,,Chiefs,Lin Elliott 19 yard field goal,3,10
3,4.0,,Chiefs,Lin Elliott 27 yard field goal,3,13
