,Quarter,Time,Tm,Detail,PIT,JAX
0,1.0,,Jaguars,Cedric Tillman 10 yard pass from Mark Brunell (Mike Hollis kick),0,7
1,2.0,,Jaguars,James Stewart 6 yard rush (Mike Hollis kick),0,14
2,2.0,,Steelers,Steve Avery 18 yard pass from Neil O'Donnell (Norm Johnson kick),7,14
3,2.0,,Jaguars,Mike Hollis 53 yard field goal,7,17
4,3.0,,Steelers,Norm Johnson 41 yard field goal,10,17
5,3.0,,Jaguars,Mike Hollis 32 yard field goal,10,20
6,3.0,,Steelers,Norm Johnson 19 yard field goal,13,20
7,4.0,,Steelers,Norm Johnson 22 yard field goal,16,20
