,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Tom Dempsey 44 yard field goal,0,3
1,1.0,Rams,Lawrence McCutcheon 7 yard pass from Pat Haden (Tom Dempsey kick),0,10
2,2.0,Bears,Bob Thomas 42 yard field goal,3,10
3,2.0,Bears,"Safety, Musso blocked punt in end zone",5,10
4,3.0,Bears,Walter Payton 17 yard rush (Bob Thomas kick),12,10
5,4.0,Rams,Lawrence McCutcheon 18 yard rush (Tom Dempsey kick),12,17
6,4.0,Rams,Tom Dempsey 37 yard field goal,12,20
