,Quarter,Tm,Detail,GNB,NYG
0,1.0,Giants,Frank Liebel 26 yard pass from Junie Hovious (Ken Strong kick),0,7
1,2.0,Packers,Ted Fritsch 2 yard rush (Don Hutson kick),7,7
2,3.0,Packers,Ted Fritsch 4 yard rush,13,7
3,3.0,Packers,Don Hutson 15 yard field goal,16,7
4,3.0,Packers,Charley Brock 27 yard interception return (Don Hutson kick),23,7
5,4.0,Giants,Bill Paschal 3 yard rush (Ken Strong kick),23,14
