,Quarter,Tm,Detail,STL,DAL
0,1.0,Cardinals,Johnny Roland 74 yard punt return (Jim Bakken kick),7,0
1,2.0,Cardinals,John Gilliam 48 yard rush (Jim Bakken kick),14,0
2,2.0,Cardinals,Jim Bakken 31 yard field goal,17,0
3,4.0,Cardinals,Johnny Roland 10 yard rush (Jim Bakken kick),24,0
4,4.0,Cardinals,Johnny Roland 3 yard rush (Jim Bakken kick),31,0
5,4.0,Cardinals,Roy Shivers 29 yard rush (Jim Bakken kick),38,0
