,Quarter,Tm,Detail,DAL,RAM
0,1.0,Cowboys,Herschel Walker 1 yard rush (Roger Ruzek kick),7,0
1,1.0,Rams,Charles White 8 yard rush (Mike Lansford kick),7,7
2,1.0,Cowboys,Roger Ruzek 24 yard field goal,10,7
3,2.0,Cowboys,Roger Ruzek 42 yard field goal,13,7
4,2.0,Cowboys,Roger Ruzek 44 yard field goal,16,7
5,3.0,Cowboys,Roger Ruzek 47 yard field goal,19,7
6,3.0,Cowboys,Doug Cosbie 27 yard pass from Steve Pelluer (Roger Ruzek kick),26,7
7,3.0,Rams,Jim Everett 1 yard rush (Mike Lansford kick),26,14
8,4.0,Cowboys,Roger Ruzek 37 yard field goal,29,14
9,4.0,Rams,Kevin House 15 yard pass from Steve Dils (Mike Lansford kick),29,21
