,Quarter,Tm,Detail,AKR,CRD
0,1,Cardinals,Willis Brennan fumble recovery in end zone (Paddy Driscoll kick),0,7
1,2,Cardinals,Paddy Driscoll unknown yard field goal,0,10
2,4,Cardinals,Paddy Driscoll 30 yard field goal,0,13
