,Quarter,Time,Tm,Detail,DAL,NYG
0,1.0,13:25,Giants,Aldrick Rosas 21 yard field goal,0,3
1,1.0,8:23,Cowboys,Brett Maher 35 yard field goal,3,3
2,2.0,12:00,Giants,Cody Latimer 1 yard pass from Daniel Jones (Aldrick Rosas kick failed),3,9
3,2.0,2:53,Giants,Aldrick Rosas 25 yard field goal,3,12
4,2.0,1:05,Cowboys,Blake Jarwin 42 yard pass from Dak Prescott (Brett Maher kick),10,12
5,2.0,0:03,Cowboys,Brett Maher 52 yard field goal,13,12
6,3.0,4:46,Cowboys,Brett Maher 28 yard field goal,16,12
7,3.0,0:30,Giants,Aldrick Rosas 26 yard field goal,16,15
8,4.0,12:47,Cowboys,Michael Gallup 15 yard pass from Dak Prescott (Brett Maher kick),23,15
9,4.0,11:53,Giants,Aldrick Rosas 29 yard field goal,23,18
10,4.0,8:05,Cowboys,Amari Cooper 45 yard pass from Dak Prescott (Brett Maher kick),30,18
11,4.0,0:22,Cowboys,Jourdan Lewis 63 yard fumble return (Brett Maher kick),37,18
