,Quarter,Time,Tm,Detail,NYJ,OAK
0,1.0,8:19,Raiders,Michael Husted 25 yard field goal,0,3
1,2.0,13:29,Jets,John Hall 32 yard field goal,3,3
2,2.0,9:51,Jets,Rick Mirer 9 yard rush (John Hall kick),10,3
3,3.0,9:49,Jets,Eric Green 2 yard pass from Rick Mirer (John Hall kick),17,3
4,3.0,3:28,Jets,John Hall 37 yard field goal,20,3
5,3.0,0:29,Raiders,Tim Brown 45 yard pass from Rich Gannon (Michael Husted kick),20,10
6,4.0,8:23,Raiders,Zack Crockett 3 yard rush (Michael Husted kick),20,17
7,4.0,1:55,Jets,John Hall 43 yard field goal,23,17
8,4.0,0:26,Raiders,James Jett 5 yard pass from Rich Gannon (Michael Husted kick),23,24
