,Quarter,Time,Tm,Detail,OAK,MIN
0,1.0,11:31,Vikings,Adam Thielen 35 yard pass from Kirk Cousins (Dan Bailey kick),0,7
1,2.0,15:00,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),0,14
2,2.0,11:09,Vikings,Adam Thielen 1 yard rush (Dan Bailey kick),0,21
3,2.0,7:33,Raiders,JJ Nelson 29 yard pass from Derek Carr (Daniel Carlson kick),7,21
4,3.0,7:32,Vikings,Alexander Mattison 10 yard rush (Dan Bailey kick),7,28
5,4.0,15:00,Vikings,Dan Bailey 50 yard field goal,7,31
6,4.0,3:49,Vikings,Dan Bailey 24 yard field goal,7,34
7,4.0,1:26,Raiders,Tyrell Williams 11 yard pass from Derek Carr (Daniel Carlson kick),14,34
