,Quarter,Tm,Detail,BKN,DET
0,1,Lions,Harry Ebding 4 yard pass from Glenn Presnell (Glenn Presnell kick),0,7
1,2,Lions,Dutch Clark 15 yard rush (Dutch Clark kick),0,14
2,4,Dodgers,Tony Kaska 1 yard rush,6,14
