,Quarter,Time,Tm,Detail,MIN,TAM
0,1.0,,Vikings,Fuad Reveiz 36 yard field goal,3,0
1,1.0,,Vikings,Anthony Parker 41 yard interception return (Fuad Reveiz kick),10,0
2,2.0,,Vikings,Terry Allen 37 yard rush (Fuad Reveiz kick),17,0
3,2.0,,Buccaneers,Charles Wilson 62 yard pass from Craig Erickson (Michael Husted kick),17,7
4,2.0,,Vikings,Fuad Reveiz 21 yard field goal,20,7
5,2.0,,Vikings,Fuad Reveiz 48 yard field goal,23,7
6,3.0,,Vikings,Amp Lee 8 yard pass from Warren Moon (Fuad Reveiz kick),30,7
7,3.0,,Vikings,Fuad Reveiz 38 yard field goal,33,7
8,4.0,,Vikings,Fuad Reveiz 35 yard field goal,36,7
9,4.0,,Buccaneers,Courtney Hawkins 3 yard pass from Trent Dilfer (pass failed),36,13
