,Quarter,Tm,Detail,CHI,DET
0,1.0,Lions,Jason Hanson 22 yard field goal,0,3
1,2.0,Lions,Barry Sanders 6 yard rush (Jason Hanson kick),0,10
2,2.0,Lions,Jason Hanson 38 yard field goal,0,13
3,3.0,Bears,Kevin Butler 24 yard field goal,3,13
4,4.0,Lions,Jason Hanson 30 yard field goal,3,16
