,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Jets,Charlie White 3 yard pass from Richard Todd (Pat Leahy kick),0,7
1,1.0,Patriots,Don Calhoun 8 yard rush (John Smith kick),7,7
2,1.0,Jets,Richard Todd 7 yard rush (Pat Leahy kick),7,14
3,1.0,Patriots,Raymond Clayborn 100 yard kickoff return (John Smith kick),14,14
4,2.0,Patriots,John Smith 44 yard field goal,17,14
5,3.0,Patriots,John Smith 24 yard field goal,20,14
6,4.0,Jets,Greg Buttle 44 yard interception return (Pat Leahy kick),20,21
7,4.0,Jets,Wesley Walker 25 yard pass from Richard Todd,20,27
8,4.0,Patriots,Darryl Stingley 22 yard pass from Steve Grogan (John Smith kick),27,27
9,4.0,Jets,Pat Leahy 32 yard field goal,27,30
